,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
64,Membrane protein of unknown function; overexpression suppresses NaCl sensitivity of sro7 mutant cells by restoring sodium pump (Ena1p) localization to the plasma membrane,transport,fungal-type vacuole membrane,molecular_function unknown,RSN1,YMR266W
65,"Zinc cluster protein; regulates transcription in response to oleate levels; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",negative regulation of transcription from RNA polymerase II promoter,nucleus,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",OAF3,YKR064W
66,"Nonhistone component of centromeric chromatin that binds stoichiometrically to CenH3-H4 histones, required for kinetochore assembly; required for G2/M progression and localization of Cse4p; may protect Cse4p from ubiquitylation",G2/M transition of mitotic cell cycle,"condensed nuclear chromosome, centromeric region",histone binding,SCM3,YDL139C
67,"MADS-box transcription factor, component of the protein kinase C-mediated MAP kinase pathway involved in the maintenance of cell integrity; phosphorylated and activated by the MAP-kinase Slt2p",MAPK cascade,nucleus,RNA polymerase II regulatory region sequence-specific DNA binding,RLM1,YPL089C
68,"Probable pantetheine-phosphate adenylyltransferase (PPAT), which catalyzes the fourth step in the biosynthesis of coenzyme A from pantothenate; null mutant lethality is complemented by E. coli coaD (encoding PPAT); widely conserved",biosynthetic process,nucleus,nucleotide binding,CAB4,YGR277C
69,One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic; human homolog is TRAPPC4,transport,pre-autophagosomal structure,Rab guanyl-nucleotide exchange factor activity,TRS23,YDR246W
70,Member of the protein disulfide isomerase (PDI) family; interacts with and inhibits the chaperone activity of Cne1p; MPD1 overexpression in a pdi1 null mutant suppresses defects in Pdi1p functions such as carboxypeptidase Y maturation,protein folding,fungal-type vacuole,protein disulfide isomerase activity,MPD1,YOR288C
71,Plasma membrane H+-pantothenate symporter; confers sensitivity to the antifungal agent fenpropimorph,transport,fungal-type vacuole,pantothenate transmembrane transporter activity,FEN2,YCR028C
72,Protein with roles in exocytosis and cation homeostasis; functions in docking and fusion of post-Golgi vesicles with plasma membrane; homolog of Sro7p and Drosophila lethal giant larvae tumor suppressor; interacts with SNARE protein Sec9p,exocytosis,cytoplasm,molecular_function unknown,SRO77,YBL106C
73,"Possible chaperone and cysteine protease with similarity to E. coli Hsp31 and S. cerevisiae Hsp31p, Hsp33p, and Sno4p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease",proteolysis,P-body,peptidase activity,HSP32,YPL280W
74,Protein of unknown function with similarity to Tfs1p; transcription is activated by paralogous proteins Yrm1p and Yrr1p along with proteins involved in multidrug resistance; GFP-tagged protein localizes to the cytoplasm and nucleus,biological_process unknown,nucleus,molecular_function unknown,YLR179C,YLR179C
75,"Cytochrome b2 (L-lactate cytochrome-c oxidoreductase), component of the mitochondrial intermembrane space, required for lactate utilization; expression is repressed by glucose and anaerobic conditions",lactate metabolic process,nucleus,catalytic activity,CYB2,YML054C
76,"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes; has mRNA binding activity",double-strand break repair,nucleus,nucleotide binding,ARP8,YOR141C
77,Cleavage and polyadenylation factor I (CF I) component involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping,mRNA polyadenylation,nucleus,nucleotide binding,RNA15,YGL044C
78,Component of the Nup82 subcomplex of the nuclear pore complex; required for polyadenylated RNA export but not for protein import; homologous to S. pombe Rae1p,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,nucleus,molecular_function unknown,GLE2,YER107C
79,Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis,cytokinesis,cellular bud neck,chitin synthase activity,CHS2,YBR038W
80,"Constituent of 66S pre-ribosomal particles, has similarity to human translation initiation factor 6 (eIF6); may be involved in the biogenesis and or stability of 60S ribosomal subunits",ribosomal subunit export from nucleus,nucleus,translation initiation factor activity,TIF6,YPR016C
81,Cell-wall L-asparaginase II involved in asparagine catabolism; expression induced during nitrogen starvation; ORF contains a short non-coding RNA that enhances expression of full-length gene; reference strain S288C has four copies of ASP3,cellular amino acid metabolic process,extracellular region,asparaginase activity,ASP3-2,YLR157C
82,"GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure",cell wall mannoprotein biosynthetic process,cytoplasm,nucleotide binding,PSA1,YDL055C
83,"Soluble fumarate reductase, required with isoenzyme Osm1p for anaerobic growth; may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies",anaerobic respiration,cytoplasm,succinate dehydrogenase activity,FRD1,YEL047C
84,mitochondrial ribosomal protein of the large subunit,translation,intracellular,structural constituent of ribosome,MRPL39,YML009C
85,"Lipid-binding protein, localized to the bud via specific mRNA transport; non-tagged protein detected in a phosphorylated state in mitochondria; GFP-fusion protein localizes to the cell periphery; C-termini of Tcb1p, Tcb2p and Tcb3p interact",regulation of phosphatidylinositol dephosphorylation,mitochondrion,calcium-dependent phospholipid binding,TCB3,YML072C
86,Peroxisomal signal receptor for the N-terminal nonapeptide signal (PTS2) of peroxisomal matrix proteins; WD repeat protein; defects in human homolog cause lethal rhizomelic chondrodysplasia punctata (RCDP),transport,cytoplasm,peroxisome matrix targeting signal-2 binding,PEX7,YDR142C
87,Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p; may contribute to regulation of protein degradation by deubiquitylating substrates that have been ubiquitylated by Ufd2p; member of the Ovarian Tumor (OTU) family,"regulation of transcription, DNA-templated",intracellular,thiol-dependent ubiquitin-specific protease activity,OTU1,YFL044C
88,Alpha subunit of both the farnesyltransferase and type I geranylgeranyltransferase that catalyze prenylation of proteins containing a CAAX consensus motif; essential protein required for membrane localization of Ras proteins and a-factor,peptide pheromone maturation,CAAX-protein geranylgeranyltransferase complex,prenyltransferase activity,RAM2,YKL019W
89,"Essential 107kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis",exocyst assembly,incipient cellular bud site,molecular_function unknown,SEC5,YDR166C
90,"Telomere end-binding and capping protein, plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis, and in a regulatory step required for telomere capping",telomere capping,"chromosome, telomeric region",single-stranded telomeric DNA binding,STN1,YDR082W
91,"Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP",urea cycle,cytoplasm,nucleotide binding,URA2,YJL130C
92,"Protein implicated in polar growth, functionally redundant with Boi2p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain",cell separation after cytokinesis,cytoplasm,phospholipid binding,BOI1,YBL085W
93,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud neck; potential Cdc28p substrate,endocytosis,cytoplasm,molecular_function unknown,PAL1,YDR348C
94,"Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities",lipid metabolic process,cytoplasm,catalytic activity,FAS1,YKL182W
95,Essential protein involved in a late step of 60S ribosomal subunit assembly or modification; contains multiple WD repeats; interacts with Qsr1p in a two-hybrid assay,ribosomal large subunit assembly,cytoplasm,molecular_function unknown,SQT1,YIR012W
96,Protein of unknown function involved in the assembly of the prospore membrane during sporulation; interacts with Spo14p,sporulation resulting in formation of a cellular spore,prospore membrane,molecular_function unknown,SMA1,YPL027W
97,Putative protein of unknown function,biological_process unknown,cytoplasm,molecular_function unknown,RQC1,YDR333C
98,"Protein interacting with Nam7p, may be involved in the nonsense-mediated mRNA decay pathway","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",nucleus,molecular_function unknown,NMD4,YLR363C
99,Peripheral membrane protein required for the cytoplasm-to-vacuole targeting (Cvt) pathway and efficient macroautophagy; cycles between the phagophore assembly site (PAS) and non-PAS locations; forms a complex with Atg9p and Atg27p,transport,pre-autophagosomal structure,molecular_function unknown,ATG23,YLR431C
100,"Subunit of the Cop9 signalosome, which is required for deneddylation, or removal of the ubiquitin-like protein Rub1p from Cdc53p (cullin); involved in adaptation to pheromone signaling",adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion,nucleus,molecular_function unknown,CSN9,YDR179C
101,Protein of unknown function that co-purifies with lipid particles; expression pattern suggests a role in respiratory growth; computational analysis of large-scale protein-protein interaction data suggests a role in ATP/ADP exchange,aerobic respiration,lipid particle,molecular_function unknown,PET10,YKR046C
102,"Beta-adaptin, large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport; similar to mammalian beta-chain of the clathrin associated protein complex",transport,plasma membrane,molecular_function unknown,APL1,YJR005W
103,Protein that functions with Nca2p to regulate mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p ) of the Fo-F1 ATP synthase; member of the SUN family; expression induced in cells treated with the mycotoxin patulin,mitochondrion organization,fungal-type vacuole,molecular_function unknown,NCA3,YJL116C
104,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; general transcription factor involved in telomere maintenance,"transcription, DNA-templated",nucleus,"transcription factor activity, core RNA polymerase II binding",SRB2,YHR041C
105,Histone chaperone for Htz1p/H2A-H2B dimer; required for the stabilization of the Chz1p-Htz1-H2B complex; has overlapping function with Nap1p; null mutant displays weak sensitivity to MMS and benomyl; contains a highly conserved CHZ motif,chromatin remodeling,nucleus,histone binding,CHZ1,YER030W
106,"Essential, conserved, cytoplasmic ATPase; phosphorylated by the Pcl1p-Pho85p kinase complex",nucleocytoplasmic transport,"DNA-directed RNA polymerase II, core complex",nucleotide binding,NPA3,YJR072C
107,General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed,amino acid transmembrane transport,fungal-type vacuole lumen,amino acid transmembrane transporter activity,GAP1,YKR039W
108,"Uroporphyrinogen decarboxylase, catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; a hem12 mutant has phenotypes similar to patients with porphyria cutanea tarda",porphyrin-containing compound biosynthetic process,nucleus,uroporphyrinogen decarboxylase activity,HEM12,YDR047W
109,"Cell-cycle regulated activator of the anaphase-promoting complex/cyclosome (APC/C), which directs ubiquitination of cyclins resulting in mitotic exit; targets the APC/C to specific substrates including Cdc20p, Ase1p, Cin8p and Fin1p",cell cycle,nucleus,anaphase-promoting complex binding,CDH1,YGL003C
110,"Protein of unknown function, involved in protein translation; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm",cytoplasmic translation,cytoplasm,tRNA binding,RQC2,YPL009C
111,mitochondrial tryptophanyl-tRNA synthetase,translation,cytoplasm,nucleotide binding,MSW1,YDR268W
112,Probable mRNA N6-adenosine methyltransferase required for entry into meiosis; transcribed in diploid cells; haploids repress IME4 transcription via production of antisense IME4 transcripts; antisense transcription is repressed in diploids,nucleobase-containing compound metabolic process,cellular_component unknown,mRNA (N6-adenosine)-methyltransferase activity,IME4,YGL192W
113,Essential nuclear protein involved in early steps of ribosome biogenesis; physically interacts with the ribosomal protein Rpl3p,rRNA processing,nucleus,molecular_function unknown,RRB1,YMR131C
114,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; required for remodeling of ER caused by Hmg2p overexpression; similar to bacterial GatA glutamyl-tRNA amidotransferase,translation,mitochondrion,nucleotide binding,HER2,YMR293C
115,SH3-domain protein located in the mother-bud neck and the cytokinetic actin ring; mutant phenotype and genetic interactions suggest a role in cytokinesis,cytokinesis,cellular bud neck contractile ring,molecular_function unknown,CYK3,YDL117W
116,"Protein of unknown function with similarity to hexose transporter family members, expression is induced by low levels of glucose and repressed by high levels of glucose",transport,plasma membrane,transporter activity,HXT8,YJL214W
117,"Phosphoinositide PI4,5P(2) binding protein, forms a complex with Slm2p; acts downstream of Mss4p in a pathway regulating actin cytoskeleton organization in response to stress; phosphorylated by the TORC2 complex",regulation of cell growth,cytoplasm,phospholipid binding,SLM1,YIL105C
118,"3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis",lipid metabolic process,nucleus,catalytic activity,ERG13,YML126C
119,"UDP-glucose:sterol glucosyltransferase, conserved enzyme involved in synthesis of sterol glucoside membrane lipids; in contrast to ATG26 from P. pastoris, S. cerevisiae ATG26 is not involved in autophagy",carbohydrate metabolic process,cytoplasm,phospholipid binding,ATG26,YLR189C
120,Essential chromatin-associated protein involved in the initiation of DNA replication; required for the association of the MCM2-7 complex with replication origins,mitotic S phase,"chromosome, telomeric region",DNA replication origin binding,MCM10,YIL150C
121,Protein required for meiotic recombination and gene conversion; null mutant displays reduced PIS1 expression and growth defects on non-fermentable carbon sources and minimal media; GFP-fusion protein localizes to both cytoplasm and nucleus,meiotic gene conversion,nucleus,molecular_function unknown,RMR1,YGL250W
